"filename", "language", "JSON", "Ini", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\eculaunch.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuobd.svg", "XML", 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuperform.svg", "XML", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecuspeed.svg", "XML", 0, 0, 0, 42, 0, 0, 0, 1, 43
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\ecustage.svg", "XML", 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerbattery.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerbrakes.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerclimate.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerelectric.svg", "XML", 0, 0, 0, 54, 0, 0, 0, 1, 55
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerinsurance.svg", "XML", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerlub.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offermechanic.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerpolution.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerpowersteer.svg", "XML", 0, 0, 0, 29, 0, 0, 0, 1, 30
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offerrepellent.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\offertire.svg", "XML", 0, 0, 0, 97, 0, 0, 0, 1, 98
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steam360.svg", "XML", 0, 0, 0, 49, 0, 0, 0, 1, 50
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steambeltkleen.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steambrakes.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamdesalt.svg", "XML", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamenginebay.svg", "XML", 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamexterior.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamlight.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamlogo.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steammat.svg", "XML", 0, 0, 0, 60, 0, 0, 0, 1, 61
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steammoto.svg", "XML", 0, 0, 0, 26, 0, 0, 0, 1, 27
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steampresale.svg", "XML", 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamradiator.svg", "XML", 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamroofkleen.svg", "XML", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\steamwheel.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\sweet 16.svg", "XML", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\serviceicons\xpress car service.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\assets\timer-24px.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\data.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\index.css", "CSS", 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\index.js", "JavaScript", 0, 0, 34, 0, 0, 0, 6, 6, 46
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\login.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\otpVerify.js", "JavaScript", 0, 0, 97, 0, 0, 0, 1, 10, 108
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\reducers\authReducer.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 5, 29
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\reducers\cartReducer.js", "JavaScript", 0, 0, 100, 0, 0, 0, 7, 9, 116
"c:\Users\vishn\Desktop\testlocal\automoto-react\customer\src\reducers\errorReducer.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
